Sample_ID,Replicate,Lithology ,Mineralogy,Phase,Analytical_Method,Chemistry,d33,d33_2sd,d34,sig_d34s,d36,d36_2sd,D33S,sig_D33S,D36S,sig_D36S,age_max,age_min,age_mean,Age_uncertainty,Age_method,age_source,Craton,Supergroup ,Group ,Subgroup,Formation ,Member,GSDBFM,Core,core_rim,Depth,Source,DOI,Publication_Date,NON_ATM_FLAG,MC_comment
GEC01-169.3,60,Shale,Pyrite,Sulfide,SIMS,,,,4.6592,0.40,,,-0.2069,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.3,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.3,61,Shale,Pyrite,Sulfide,SIMS,,,,-4.5332,0.40,,,-0.4414,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.3,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,1,Shale,Pyrite,Sulfide,SIMS,,,,38.8593,0.40,,,-0.3492,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,2,Shale,Pyrite,Sulfide,SIMS,,,,25.1586,0.40,,,0.3625,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,3,Shale,Pyrite,Sulfide,SIMS,,,,1.4314,0.40,,,-0.0072,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,4,Shale,Pyrite,Sulfide,SIMS,,,,35.5789,0.40,,,0.0773,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,5,Shale,Pyrite,Sulfide,SIMS,,,,39.85,0.40,,,-0.2638,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,6,Shale,Pyrite,Sulfide,SIMS,,,,42.9572,0.40,,,-0.1611,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,7,Shale,Pyrite,Sulfide,SIMS,,,,36.7888,0.40,,,-0.1135,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,8,Shale,Pyrite,Sulfide,SIMS,,,,-0.3739,0.40,,,0.0689,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,9,Shale,Pyrite,Sulfide,SIMS,,,,42.8683,0.40,,,-0.1626,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,10,Shale,Pyrite,Sulfide,SIMS,,,,11.3122,0.40,,,-0.4923,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,11,Shale,Pyrite,Sulfide,SIMS,,,,25.6321,0.40,,,0.0661,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,12,Shale,Pyrite,Sulfide,SIMS,,,,23.3708,0.40,,,0.059,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,13,Shale,Pyrite,Sulfide,SIMS,,,,-2.6566,0.40,,,-0.2522,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,14,Shale,Pyrite,Sulfide,SIMS,,,,12.3491,0.40,,,-0.3063,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,15,Shale,Pyrite,Sulfide,SIMS,,,,0.1682,0.40,,,-0.2668,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,16,Shale,Pyrite,Sulfide,SIMS,,,,0.9875,0.40,,,0.8041,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,17,Shale,Pyrite,Sulfide,SIMS,,,,48.3159,0.40,,,0.069,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,18,Shale,Pyrite,Sulfide,SIMS,,,,29.328,0.40,,,0.5613,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,19,Shale,Pyrite,Sulfide,SIMS,,,,-0.0005,0.40,,,-0.5088,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,20,Shale,Pyrite,Sulfide,SIMS,,,,-3.9963,0.40,,,0.2211,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,21,Shale,Pyrite,Sulfide,SIMS,,,,12.4377,0.40,,,0.5176,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,22,Shale,Pyrite,Sulfide,SIMS,,,,40.8281,0.40,,,-0.0075,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,23,Shale,Pyrite,Sulfide,SIMS,,,,23.7061,0.40,,,-0.0988,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,24,Shale,Pyrite,Sulfide,SIMS,,,,-1.2267,0.40,,,0.2581,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,25,Shale,Pyrite,Sulfide,SIMS,,,,10.0225,0.40,,,0.8442,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,26,Shale,Pyrite,Sulfide,SIMS,,,,32.4293,0.40,,,-0.1159,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,27,Shale,Pyrite,Sulfide,SIMS,,,,34.9418,0.40,,,-0.3331,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,28,Shale,Pyrite,Sulfide,SIMS,,,,23.1191,0.40,,,0.0872,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,29,Shale,Pyrite,Sulfide,SIMS,,,,0.8939,0.40,,,0.0581,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,30,Shale,Pyrite,Sulfide,SIMS,,,,28.4029,0.40,,,0.0711,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,31,Shale,Pyrite,Sulfide,SIMS,,,,45.6679,0.40,,,0.4507,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,32,Shale,Pyrite,Sulfide,SIMS,,,,12.3184,0.40,,,-0.2885,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,33,Shale,Pyrite,Sulfide,SIMS,,,,25.304,0.40,,,0.3851,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,34,Shale,Pyrite,Sulfide,SIMS,,,,-0.247,0.40,,,-0.2525,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,35,Shale,Pyrite,Sulfide,SIMS,,,,29.9231,0.40,,,0.7177,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,36,Shale,Pyrite,Sulfide,SIMS,,,,28.5637,0.40,,,-0.1417,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,37,Shale,Pyrite,Sulfide,SIMS,,,,4.9555,0.40,,,0.2024,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,38,Shale,Pyrite,Sulfide,SIMS,,,,25.7638,0.40,,,-0.1589,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,39,Shale,Pyrite,Sulfide,SIMS,,,,-1.0545,0.40,,,0.5656,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,40,Shale,Pyrite,Sulfide,SIMS,,,,15.3405,0.40,,,0.4586,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,41,Shale,Pyrite,Sulfide,SIMS,,,,27.7942,0.40,,,0.368,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,42,Shale,Pyrite,Sulfide,SIMS,,,,3.2216,0.40,,,0.0715,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,43,Shale,Pyrite,Sulfide,SIMS,,,,46.9918,0.40,,,-0.2706,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,44,Shale,Pyrite,Sulfide,SIMS,,,,18.9899,0.40,,,-0.0771,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,45,Shale,Pyrite,Sulfide,SIMS,,,,13.1467,0.40,,,0.2967,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,46,Shale,Pyrite,Sulfide,SIMS,,,,13.4247,0.40,,,-0.0491,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,47,Shale,Pyrite,Sulfide,SIMS,,,,14.19,0.40,,,-0.0497,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,48,Shale,Pyrite,Sulfide,SIMS,,,,28.1632,0.40,,,0.1638,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,49,Shale,Pyrite,Sulfide,SIMS,,,,26.7675,0.40,,,0.1807,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,50,Shale,Pyrite,Sulfide,SIMS,,,,16.9775,0.40,,,0.6842,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,51,Shale,Pyrite,Sulfide,SIMS,,,,41.9414,0.40,,,-0.4683,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,52,Shale,Pyrite,Sulfide,SIMS,,,,27.1949,0.40,,,-0.4162,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,53,Shale,Pyrite,Sulfide,SIMS,,,,22.7401,0.40,,,-0.4597,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,54,Shale,Pyrite,Sulfide,SIMS,,,,7.3052,0.40,,,-0.0053,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,55,Shale,Pyrite,Sulfide,SIMS,,,,54.1486,0.40,,,-0.0701,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,56,Shale,Pyrite,Sulfide,SIMS,,,,41.3299,0.40,,,-0.0016,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,57,Shale,Pyrite,Sulfide,SIMS,,,,53.7504,0.40,,,0.0334,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,58,Shale,Pyrite,Sulfide,SIMS,,,,43.5725,0.40,,,0.1022,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,59,Shale,Pyrite,Sulfide,SIMS,,,,8.3619,0.40,,,0.0037,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,60,Shale,Pyrite,Sulfide,SIMS,,,,32.5386,0.40,,,-0.1771,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,61,Shale,Pyrite,Sulfide,SIMS,,,,15.4626,0.40,,,0.2635,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,62,Shale,Pyrite,Sulfide,SIMS,,,,-2.6903,0.40,,,-0.2589,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,63,Shale,Pyrite,Sulfide,SIMS,,,,35.2172,0.40,,,-0.3856,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,64,Shale,Pyrite,Sulfide,SIMS,,,,1.9458,0.40,,,0.4439,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,65,Shale,Pyrite,Sulfide,SIMS,,,,-4.3766,0.40,,,0.4089,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
GEC01-169.80,66,Shale,Pyrite,Sulfide,SIMS,,,,38.277,0.40,,,0.1157,0.15,,,2431,2415,2423,,,"Schröder et al., 2011; Gutzmer and Beukes, 1998; Trendall et al., 1990; Nelson et al., 1999",Kaapvaal,Transvaal - Griqualand West,Ghaap,Koegas,Heynskop,,,GEC01,,169.8,"Johnson et al., 2013",10.1073/pnas.1305530110,2013,OK,
